"SurveyResponseID","AnswerNumber","TechnologyUses"
3557610,161,"Maps"
3557702,119,"See ratings by other travellers"
3557371,177,"General information about the region you were in"
3557680,164,"Maps"
3557371,178,"Access to resources to assist you to plan"
3557371,184,"Suggested itineraries"
3557371,179,"Weather information"
3557372,99,"Check/confirm existing travel plans"
3557371,182,"Accommodation in the region you were in"
3557372,100,"Weather information"
3557371,181,"Internet access"
3557727,168,"Attractions / Activities"
3557617,158,"Attractions / Activities"
3557617,159,"Suggested itineraries"
3557371,180,"Maps"
3557371,183,"Accommodation in a different region"
3557727,162,"Maps"
3557727,165,"See ratings by other travellers"
3557727,167,"Accommodation in a different region"
3557727,163,"Internet access"
3557727,164,"Compare prices / find deals"
3557680,166,"Information about Maori culture / cultural activities"
3557617,157,"Compare prices / find deals"
3557727,161,"Weather information"
3557727,166,"Accommodation in the region you were in"
3557617,155,"Weather information"
3557626,165,"Compare prices / find deals"
3557617,156,"Maps"
3557390,102,"None of these"
3557743,186,"General information about the region you were in"
3557626,166,"See ratings by other travellers"
3557743,190,"Internet access"
3557626,167,"Accommodation in a different region"
3557680,167,"Directions"
3557743,191,"Compare prices / find deals"
3557743,192,"Directions"
3557628,121,"General information about the region you were in"
3557626,164,"Weather information"
3557743,188,"Weather information"
3557743,189,"Maps"
3557743,193,"See ratings by other travellers"
3557680,168,"General information about a different region"
3557743,194,"Information about amenities/services for the town you were in"
3557680,169,"See ratings by other travellers"
3557743,196,"Accommodation in a different region"
3557743,195,"Accommodation in the region you were in"
3557680,171,"Accommodation in a different region"
3557404,99,"Maps"
3557750,180,"Maps"
3557626,163,"Check/confirm existing travel plans"
3557750,185,"General information about a different region"
3557628,122,"Access to resources to assist you to plan"
3557743,187,"Check/confirm existing travel plans"
3557750,186,"See ratings by other travellers"
3557743,197,"Attractions / Activities"
3557680,172,"Attractions / Activities"
3557404,101,"Attractions / Activities"
3557750,178,"Check/confirm existing travel plans"
3557404,100,"Directions"
3557750,177,"General information about the region you were in"
3557750,181,"Internet access"
3557750,182,"Compare prices / find deals"
3557680,170,"Accommodation in the region you were in"
3557404,98,"Weather information"
3557750,179,"Weather information"
3557750,184,"Overview of NZ regions"
3557750,187,"Information about amenities/services for the town you were in"
3557750,188,"Accommodation in the region you were in"
3557628,123,"Weather information"
3557628,124,"Maps"
3557628,126,"General information about a different region"
3557750,183,"Directions"
3557628,125,"Internet access"
3557628,127,"Event information"
3557750,189,"Accommodation in a different region"
3557713,153,"Check/confirm existing travel plans"
3557713,159,"Flights within New Zealand"
3557713,155,"Maps"
3557406,111,"See ratings by other travellers"
3557633,118,"Maps"
3557633,120,"General information about a different region"
3557633,121,"See ratings by other travellers"
3557406,109,"General information about the region you were in"
3557713,152,"General information about the region you were in"
3557713,156,"Internet access"
3557713,157,"Directions"
3557633,119,"Internet access"
3557713,154,"Weather information"
3557713,158,"Information about amenities/services for the town you were in"
3557406,110,"Weather information"
3557633,117,"Weather information"
3557633,122,"Information about amenities/services for the town you were in"
3557633,123,"Accommodation in the region you were in"
3557750,190,"Transport/ travel options around New Zealand"
