"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3558987,109,"Virgin/Virgin Blue/Pacific Blue","9"
3559011,111,"Qantas","9"
3559015,149,"Qantas","5"
3558852,157,"Air New Zealand","7"
3558983,167,"Air New Zealand","9"
3558975,161,"Qantas","8"
3579021,140,"Not sure",NA
3558790,135,"Air New Zealand","7"
3578916,147,"Air New Zealand","7"
3558168,100,"Another airline",NA
3558798,133,"Air New Zealand","Excellent  10"
3558927,219,"Air New Zealand","Excellent  10"
3578888,152,"Not sure",NA
3578924,126,"Not sure",NA
3558935,150,"Air New Zealand","Excellent  10"
3578932,137,"Not sure",NA
3559007,161,"Air New Zealand","Excellent  10"
3558132,178,"Emirates","8"
3558770,110,"Emirates","Excellent  10"
3559043,114,"Air New Zealand","6"
3558172,145,"American Airlines","7"
3559055,133,"JetStar","9"
3558766,148,"Emirates","8"
3559091,110,"Air New Zealand","9"
3558931,168,"Emirates","Excellent  10"
3559177,180,"Singapore Airlines","9"
3559051,129,"Qantas","9"
3558272,150,"Qantas","5"
3558276,136,"Cathay Pacific","8"
3578996,131,"Qantas","7"
3559067,139,"Qantas","6"
3579049,140,"Not sure",NA
3579000,163,"Qantas","9"
3579004,139,"Singapore Airlines","8"
3579017,151,"Air New Zealand","Excellent  10"
3558782,117,"American Airlines","7"
3558915,144,"Emirates","Excellent  10"
3559185,149,"Singapore Airlines","9"
3579065,134,"Not sure",NA
3558854,149,"American Airlines","8"
3579081,121,"Qantas","9"
3559087,133,"Malaysian Airlines","5"
3558802,139,"Emirates","7"
3558240,164,"Emirates","9"
3579045,139,"Emirates","8"
3579057,117,"Emirates","7"
3559165,188,"Air New Zealand","7"
3559205,142,"Emirates","Excellent  10"
3558256,180,"Air New Zealand","8"
3559229,128,"Emirates","Excellent  10"
3578956,126,"Emirates","Excellent  10"
3559233,262,"Malaysian Airlines","6"
3558928,154,"Emirates","9"
3558939,111,"Emirates","8"
3558298,137,"Emirates","Excellent  10"
3558952,117,"Emirates","Excellent  10"
3558232,142,"American Airlines","8"
3558244,164,"Emirates","Excellent  10"
3579053,135,"Not sure",NA
3558972,113,"Emirates","9"
3559181,154,"Singapore Airlines","Excellent  10"
3558920,175,"Air Asia X","5"
3579041,144,"Air New Zealand","9"
3558858,160,"Another airline",NA
3558924,142,"Air New Zealand","Excellent  10"
3559095,107,"Air New Zealand","9"
3559107,121,"Air New Zealand","8"
3558296,119,"Emirates","9"
3558280,116,"Air New Zealand","7"
3558284,111,"Air New Zealand","Excellent  10"
3558288,124,"Another airline",NA
3579109,149,"Air New Zealand","9"
3579113,157,"Air New Zealand","Excellent  10"
3559261,149,"China Southern","6"
